ID,IPK_Sem1,IPK_Sem2,IPK_Sem3,IPK_Sem4,Kehadiran_Rata,Remedial_Total,Aktivitas_Online,Pekerjaan,Jam_Kerja_Mingguan,Pendapatan_OrangTua,Tanggungan_Keluarga,Risiko_DO
M0001,3.05,2.85,2.59,2.26,79.7,1,8,Tidak,0,8.4,6,0
M0002,2.73,2.69,2.68,2.49,75.0,0,16,Tidak,0,6.2,7,0
M0003,3.12,2.88,2.89,2.61,78.3,0,6,Tidak,0,6.1,10,0
M0004,3.56,3.47,3.61,3.45,87.1,1,11,Tidak,0,7.3,8,0
M0005,2.68,2.11,1.7,1.64,92.8,2,11,Tidak,0,6.3,9,0
M0006,2.68,2.74,2.92,3.17,85.7,2,10,Tidak,0,6.6,6,0
M0007,3.59,3.59,2.78,2.68,81.0,2,9,Tidak,0,6.5,8,0
M0008,3.18,2.93,2.74,2.26,95.0,0,9,Tidak,0,5.7,2,0
M0009,2.57,2.77,2.62,2.96,76.9,3,8,Ya,27,4.2,10,1
M0010,3.07,3.35,3.54,3.29,90.3,2,14,Tidak,0,9.5,8,0
M0011,2.57,2.09,2.1,2.08,77.1,3,8,Tidak,0,4.2,2,0
M0012,2.57,2.34,1.92,2.05,84.3,1,9,Tidak,0,9.3,8,0
M0013,2.92,2.69,2.39,2.45,78.9,2,8,Tidak,0,6.7,2,0
M0014,1.84,1.56,1.62,1.95,79.4,1,9,Tidak,0,4.8,3,0
M0015,1.94,2.19,2.17,2.31,76.2,2,8,Tidak,0,7.1,7,0
M0016,2.52,2.46,2.29,2.03,93.4,1,11,Tidak,0,7.6,9,0
M0017,2.29,2.21,2.07,2.72,72.7,2,6,Tidak,0,9.4,3,0
M0018,2.96,2.36,2.57,2.63,72.6,0,13,Ya,36,3.4,5,0
M0019,2.35,2.54,2.38,2.34,100.0,0,11,Tidak,0,5.7,9,0
M0020,2.09,1.72,1.69,1.98,89.8,2,8,Tidak,0,8.8,7,0
M0021,3.53,3.55,4.0,4.0,56.1,0,13,Ya,23,7.5,2,0
M0022,2.69,2.77,2.34,2.46,74.3,0,13,Tidak,0,7.0,5,0
M0023,2.83,3.24,2.68,3.43,61.9,2,13,Tidak,0,9.0,5,0
M0024,2.09,1.7,1.94,1.86,70.5,1,12,Tidak,0,5.6,9,0
M0025,2.53,1.62,1.5,1.5,50.0,6,11,Tidak,0,1.2,2,1
M0026,2.86,2.92,2.82,2.85,78.6,1,8,Tidak,0,5.3,1,0
M0027,2.22,2.76,2.53,2.85,68.6,1,11,Tidak,0,10.0,4,0
M0028,2.99,3.36,3.28,2.83,80.6,0,8,Tidak,0,6.6,4,0
M0029,2.5,2.56,3.04,2.45,63.7,1,10,Tidak,0,4.3,1,0
M0030,2.65,2.5,2.74,2.56,80.8,1,11,Tidak,0,8.7,10,0
M0031,2.5,2.74,3.0,2.51,75.9,4,16,Tidak,0,7.7,7,0
M0032,3.73,3.44,3.02,2.89,95.0,0,10,Ya,18,6.3,2,0
M0033,2.79,2.93,2.58,2.73,94.1,1,12,Ya,31,7.2,9,0
M0034,2.27,2.42,1.57,1.5,87.9,0,8,Ya,17,4.0,7,0
M0035,3.21,3.53,3.29,2.86,76.7,1,6,Tidak,0,5.3,7,0
M0036,2.19,3.02,3.31,3.33,99.9,1,8,Tidak,0,5.9,1,0
M0037,2.9,3.02,3.18,3.44,64.5,0,6,Ya,39,8.2,9,1
M0038,1.82,1.67,1.6,1.5,66.0,0,11,Ya,20,4.9,10,1
M0039,2.14,2.13,2.12,2.37,79.2,0,7,Tidak,0,5.9,9,0
M0040,2.9,2.37,2.16,2.41,100.0,2,9,Tidak,0,8.9,2,0
M0041,3.17,2.96,3.02,3.31,78.0,1,12,Ya,11,11.0,10,0
M0042,2.89,2.77,3.0,3.37,78.2,1,6,Ya,21,4.3,9,0
M0043,2.74,2.58,2.1,2.76,65.6,2,11,Ya,33,6.3,2,0
M0044,2.65,2.7,2.79,2.68,89.5,4,7,Tidak,0,3.0,2,0
M0045,2.06,1.81,2.09,2.12,89.5,2,10,Ya,28,6.0,8,1
M0046,2.44,2.78,2.66,2.54,87.9,0,7,Tidak,0,5.4,3,0
M0047,2.57,2.57,2.78,2.78,73.7,1,9,Tidak,0,8.5,3,0
M0048,3.33,3.33,4.0,4.0,72.9,1,7,Tidak,0,3.7,7,0
M0049,2.97,2.87,2.84,2.44,67.1,4,8,Ya,31,3.4,10,1
M0050,1.92,1.97,2.09,1.83,80.8,0,10,Tidak,0,9.0,6,0
M0051,2.96,3.21,2.99,3.4,69.2,1,12,Tidak,0,4.7,7,0
M0052,2.61,2.35,2.4,2.71,68.2,1,6,Tidak,0,6.4,6,0
M0053,2.46,2.26,2.4,2.29,75.8,2,4,Ya,16,6.6,9,1
M0054,3.11,3.02,3.08,3.34,75.1,1,8,Tidak,0,4.4,2,0
M0055,3.32,2.92,2.61,2.71,74.6,5,9,Tidak,0,4.4,8,0
M0056,3.27,3.02,3.08,3.53,84.7,2,8,Ya,34,8.3,6,0
M0057,2.38,2.24,2.68,2.7,80.8,0,11,Tidak,0,7.4,4,0
